ESCLEROSE PERCUTÂNEA DE MALFORMAÇÕES VENOSAS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ESCLEROSE PERCUTÂNEA DE NÓDULOS BENIGNOS DIRIGIDA OU NÃO POR RX, US, TC, RM",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"EXÉRESE PERCUTÂNEA DE TUMOR ORIENTADA POR RX, US, TC OU RM",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
GASTROSTOMIA PERCUTÂNEA ORIENTADA POR RX OU TC,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"IMPLANTE DE ENDOPRÓTESE EM ANEURISMA OU DISSECÇÃO DE AORTA ABDOMINAL OU TORÁCICA COM
STENT REVESTIDO (STENT-GRAFT)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
LITOTRIPSIA MECÂNICA DE CÁLCULOS RENAIS ORIENTADA POR RX OU US,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
MANIPULAÇÃO DE DRENOS PÓS-DRENAGEM ORIENTADA OU NÃO POR IMAGEM,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"NEFROSTOMIA PERCUTÂNEA ORIENTADA POR RX, US, TC OU RM",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
OSTEOPLASTIA OU DISCECTOMIA PERCUTÂNEA (VERTEBROPLASTIA),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PARACENTESE ORIENTADA POR RX OU US,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PIELOGRAFIA PERCUTÂNEA ORIENTADA POR MÉTODOS DE IMAGEM,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
PUNÇÃO ASPIRATIVA OU BIÓPSIA ORIENTADA POR IMAGEM,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
QUIMIOEMBOLIZAÇÃO PARA TRATAMENTO DE TUMOR HEPÁTICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
QUIMIOTERAPIA POR CATETER,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
QUIMIOTERAPIA SISTÊMICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
QUIMIOTERAPIA SISTÊMICA COM ISOLAMENTO PROTETOR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RADIOEMBOLIZAÇÃO HEPÁTICA (COM DIRETRIZ DE UTILIZAÇÃO),542/2022,01/09/2022,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,155,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
REPERMEABILIZAÇÃO/RECANALIZAÇÃO TUBÁRIA - EXCETO PARA REVERSÃO DE LAQUEADURA TUBÁRIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RECANALIZAÇÃO TUBÁRIA LAPAROSCÓPICA - EXCETO PARA REVERSÃO DE LAQUEADURA TUBÁRIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"RETIRADA PERCUTÂNEA DE CÁLCULOS BILIARES ORIENTADA POR RX, US OU TC",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"RETIRADA PERCUTÂNEA DE CÁLCULOS RENAIS ORIENTADA POR RX, US OU TC",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RETIRADA PERCUTÂNEA DE CORPO ESTRANHO INTRAVASCULAR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
SINUSOGRAFIA (ABSCESSOGRAFIA),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TIPS - ANASTOMOSE PORTO-CAVA PERCUTÂNEA PARA TRATAMENTO DE HIPERTENSÃO PORTAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TRAQUEOTOMIA PERCUTÂNEA ORIENTADA POR RX OU TC,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TRATAMENTO DO VASOESPASMO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TROMBECTOMIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TROMBÓLISE MEDICAMENTOSA ARTERIAL OU VENOSA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO ARTERIAL DE MEMBROS INFERIORES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO ARTERIAL DE MEMBROS SUPERIORES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
DOPPLER COLORIDO DE AORTA E ARTÉRIAS RENAIS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE AORTA E ILÍACAS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"DOPPLER COLORIDO DE ARTÉRIAS VISCERAIS (MESENTÉRICAS SUPERIOR E INFERIOR E TRONCO
CELÍACO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE HEMANGIOMA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE ÓRGÃOS OU ESTRUTURAS (INCLUI CORAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE VASOS CERVICAIS ARTERIAIS (CARÓTIDAS E VERTEBRAIS),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE VASOS CERVICAIS VENOSOS (SUBCLÁVIAS E JUGULARES),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE VEIA CAVA SUPERIOR OU INFERIOR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO PENIANO COM OU SEM FÁRMACO-INDUÇÃO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO TRANSCRANIANO OU TRANSFONTANELA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO VENOSO DE MEMBROS INFERIORES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO VENOSO DE MEMBROS SUPERIORES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DUPLEX SCAN VASCULAR PERIFÉRICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE ARTÉRIAS PENIANAS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ECODOPPLERCARDIOGRAMA COM CONTRASTE INTRACAVITÁRIO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ECODOPPLERCARDIOGRAMA COM CONTRASTE PARA PERFUSÃO MIOCÁRDICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ECODOPPLERCARDIOGRAMA COM ESTRESSE FARMACOLÓGICO/ESTRESSE FÍSICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ECODOPPLERCARDIOGRAMA FETAL COM MAPEAMENTO DE FLUXO (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,,REF,,20,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ECODOPPLERCARDIOGRAMA TRANSESOFÁGICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ECODOPPLERCARDIOGRAMA TRANSTORÁCICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ESTUDO DE VASO COM DOPPLER PULSADO CONTÍNUO CONVENCIONAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ELASTOGRAFIA HEPÁTICA ULTRASSÔNICA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,119,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA ARTICULAR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA BIOMICROSCÓPICA OCULAR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE ABDOME INFERIOR FEMININO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE ABDOME INFERIOR MASCULINO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE ABDOME SUPERIOR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE ABDOME TOTAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE APARELHO URINÁRIO FEMININO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE APARELHO URINÁRIO MASCULINO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE ESTRUTURAS SUPERFICIAIS OU PARTES MOLES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE GLÂNDULAS SALIVARES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE GLOBO OCULAR COM OU SEM DOPPLER COLORIDO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE MAMA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ULTRASSONOGRAFIA DE ÓRGÃOS SUPERFICIAIS (TIREÓIDE, ESCROTO, PÊNIS OU CRÂNIO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA TRANSRETAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DE RETROPERITÔNIO (GRANDES VASOS OU ADRENAIS),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA DERMATOLÓGICA - PELE E SUBCUTÂNEO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ULTRASSONOGRAFIA DIAGNÓSTICA OCULAR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ULTRASSONOGRAFIA OBSTÉTRICA COM TRANSLUCÊNCIA NUCAL/ULTRASSONOGRAFIA MORFOLÓGICA
DO 1o TRIMESTRE (COM DIRETRIZ DE UTILIZAÇÃO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,,REF,,76,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA OBSTÉTRICA CONVENCIONALCOM OU SEM DOPPLER COLORIDO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA OBSTÉTRICA ENDOVAGINAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA OBSTÉTRICA MORFOLÓGICA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,,REF,,75,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ULTRASSONOGRAFIA OBSTÉTRICA: PERFIL BIOFÍSICO FETAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,,REF,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
